,priceDate,minPrice,maxPrice,modalPrice
0,2018-09-01,696.3110892762878,2369.3076594276363,1401.302261457119
1,2018-09-02,693.828515881216,2353.8824136280273,1395.4820387274015
2,2018-09-03,691.7476988154807,2342.351447035643,1391.398581900675
3,2018-09-04,689.7615630362102,2333.275189843089,1387.7094909243442
4,2018-09-05,687.8505004607712,2322.181967123544,1383.9683758873493
5,2018-09-06,686.0763441695533,2312.9552877663546,1380.3278947732952
6,2018-09-07,684.2994420918868,2303.0534224105327,1376.377795075973
7,2018-09-08,682.5602045561831,2294.1382925135526,1372.3510348733043
8,2018-09-09,680.8329936793751,2283.6575083478897,1368.397052782805
9,2018-09-10,679.125505182432,2274.1981692309923,1364.5273902770894
10,2018-09-11,677.4293104537608,2264.0793518602914,1360.7080191567918
11,2018-09-12,675.7495726691394,2254.780041271186,1356.9278490980348
12,2018-09-13,674.0828188298362,2244.987937129736,1353.1695791794928
13,2018-09-14,672.4307746670509,2235.8117715033723,1349.4303431124767
14,2018-09-15,670.7922778052204,2226.3356227908985,1345.7157377840374
15,2018-09-16,669.1678373378695,2217.3161224593764,1342.0301198418667
16,2018-09-17,667.556926012758,2208.074724480523,1338.374002939633
17,2018-09-18,665.9596503080621,2199.1817532370424,1334.7467140239976
18,2018-09-19,664.3757313518648,2190.1553105867597,1331.1471252319077
19,2018-09-20,662.8051197930604,2181.406491084305,1327.5743876312179
20,2018-09-21,661.2476312063741,2172.5835663063217,1324.0281740180912
21,2018-09-22,659.7031645505757,2163.984951328509,1320.5084258025286
22,2018-09-23,658.171570885279,2155.3561822617457,1317.0150493534127
23,2018-09-24,656.652732645009,2146.9120272984187,1313.547857444827
24,2018-09-25,655.1465159221307,2138.4672109280245,1310.106597963463
25,2018-09-26,653.6527990852287,2130.177178149813,1306.6909999919774
26,2018-09-27,652.1714555670886,2121.9076574788846,1303.3008067883868
27,2018-09-28,650.7023641711542,2113.7710571867933,1299.9357832987728
28,2018-09-29,649.2454028379601,2105.6698302451614,1296.595706224477
29,2018-09-30,647.8004523592605,2097.685229671514,1293.280354831447
